0.2	0.329341
0.4	0.125749
0.6	0.0998004
0.8	0.0658683
1	0.0399202
1.2	0.0558882
1.4	0.0399202
1.6	0.0299401
1.8	0.0259481
2	0.0259481
2.2	0.0199601
2.4	0.0159681
2.6	0.0139721
2.8	0.0199601
3	0.011976
3.2	0.00798403
3.4	0.0179641
3.6	0.00399202
3.8	0
4	0.00598802
4.2	0.00399202
4.4	0
4.6	0.00399202
4.8	0.00399202
5	0.00199601
5.2	0.00399202
5.4	0.00199601
5.6	0.00199601
5.8	0
6	0.00399202
6.2	0.00199601
6.4	0
6.6	0
6.8	0.00199601
7	0
7.2	0
7.4	0
7.6	0
7.8	0.00199601
8	0.00199601
8.2	0.00199601
8.4	0
8.6	0
8.8	0
9	0
9.2	0
9.4	0
9.6	0
9.8	0
10	0
10.2	0
10.4	0
10.6	0.00199601
10.8	0
11	0
11.2	0
11.4	0
11.6	0
11.8	0
12	0
12.2	0
12.4	0
12.6	0
12.8	0
13	0
13.2	0
13.4	0
13.6	0
13.8	0
14	0.00199601
14.2	0
14.4	0
14.6	0
14.8	0
15	0
15.2	0
15.4	0
15.6	0.00199601
15.8	0
16	0
16.2	0
16.4	0
16.6	0
16.8	0
17	0
17.2	0
17.4	0.00199601
17.6	0
17.8	0
18	0
18.2	0
18.4	0
18.6	0
18.8	0
19	0
19.2	0
19.4	0
19.6	0
19.8	0
