,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pool_size_2_max_pooling_layers,param_pool_size_1_max_pooling_layers,param_n_neurons_3_dense_layers,param_n_filters_2_conv_layers,param_n_filters_1_conv_layers,param_n_3_dense_layers,param_n_2_max_pooling_layers,param_n_2_conv_layers,param_n_1_max_pooling_layers,param_n_1_conv_layers,param_learningrate,param_l2,param_l1,param_kernel_size_2_conv_layers,param_kernel_size_1_conv_layers,param_dropout,param_decay,param_activation_f_layer,param_activation_3_dense_layers,param_activation_2_conv_layers,param_activation_1_conv_layers,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10,1.7749398549397786,0.024933179971654493,0.1296980381011963,0.0021515699533086524,2,2,128,32,64,1,1,2,0,1,0.1,0.0001,0.0001,2,6,0,1e-06,sigmoid,sigmoid,relu,sigmoid,"{'pool_size_2_max_pooling_layers': 2, 'pool_size_1_max_pooling_layers': 2, 'n_neurons_3_dense_layers': 128, 'n_filters_2_conv_layers': 32, 'n_filters_1_conv_layers': 64, 'n_3_dense_layers': 1, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 2, 'n_1_max_pooling_layers': 0, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 2, 'kernel_size_1_conv_layers': 6, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'sigmoid', 'activation_2_conv_layers': 'relu', 'activation_1_conv_layers': 'sigmoid'}",0.5,0.4951393552121516,0.613970690884054,0.5363700153654019,0.05490783245677409,69
11,2.1969098250071206,0.2682248537737623,0.14020299911499023,0.005444879949015003,2,2,64,32,64,3,1,1,0,1,0.1,0.0001,0.0001,4,7,0,1e-06,sigmoid,relu,relu,sigmoid,"{'pool_size_2_max_pooling_layers': 2, 'pool_size_1_max_pooling_layers': 2, 'n_neurons_3_dense_layers': 64, 'n_filters_2_conv_layers': 32, 'n_filters_1_conv_layers': 64, 'n_3_dense_layers': 3, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 1, 'n_1_max_pooling_layers': 0, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 4, 'kernel_size_1_conv_layers': 7, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'relu', 'activation_2_conv_layers': 'relu', 'activation_1_conv_layers': 'sigmoid'}",0.8969560399978739,0.5,0.5,0.6323186799992913,0.18712687181030332,40
12,1.692552089691162,0.016928211031513648,0.1231536070505778,0.004031019464453154,3,3,128,32,128,1,1,1,0,1,0.1,0.0001,0.0001,3,6,0,1e-06,sigmoid,relu,relu,sigmoid,"{'pool_size_2_max_pooling_layers': 3, 'pool_size_1_max_pooling_layers': 3, 'n_neurons_3_dense_layers': 128, 'n_filters_2_conv_layers': 32, 'n_filters_1_conv_layers': 128, 'n_3_dense_layers': 1, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 1, 'n_1_max_pooling_layers': 0, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 3, 'kernel_size_1_conv_layers': 6, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'relu', 'activation_2_conv_layers': 'relu', 'activation_1_conv_layers': 'sigmoid'}",0.8673606611048722,0.5,0.5,0.6224535537016241,0.17317547640561887,46
13,2.0476012229919434,0.049312397824962675,0.15099477767944336,0.004007518259115695,2,2,16,16,256,3,1,2,1,1,0.1,0.0001,0.0001,2,6,0,1e-06,sigmoid,sigmoid,relu,relu,"{'pool_size_2_max_pooling_layers': 2, 'pool_size_1_max_pooling_layers': 2, 'n_neurons_3_dense_layers': 16, 'n_filters_2_conv_layers': 16, 'n_filters_1_conv_layers': 256, 'n_3_dense_layers': 3, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 2, 'n_1_max_pooling_layers': 1, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 2, 'kernel_size_1_conv_layers': 6, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'sigmoid', 'activation_2_conv_layers': 'relu', 'activation_1_conv_layers': 'relu'}",0.8220570722886253,0.6268041185670556,0.6039588664972447,0.6842733524509752,0.09787318827529952,23
14,2.105665842692057,0.3044695483887051,0.14449389775594076,0.005063872365137862,3,2,64,32,128,1,1,2,0,1,0.1,0.0001,0.0001,4,8,0,1e-06,sigmoid,sigmoid,relu,relu,"{'pool_size_2_max_pooling_layers': 3, 'pool_size_1_max_pooling_layers': 2, 'n_neurons_3_dense_layers': 64, 'n_filters_2_conv_layers': 32, 'n_filters_1_conv_layers': 128, 'n_3_dense_layers': 1, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 2, 'n_1_max_pooling_layers': 0, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 4, 'kernel_size_1_conv_layers': 8, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'sigmoid', 'activation_2_conv_layers': 'relu', 'activation_1_conv_layers': 'relu'}",0.5620137105356309,0.5717019599121197,0.649281572480458,0.5943324143094029,0.03905571261481038,58
15,1.9963805675506592,0.05529427424328959,0.14783708254496256,0.004443036257316062,2,3,16,32,256,2,1,2,1,1,0.1,0.0001,0.0001,2,6,0,1e-06,sigmoid,relu,relu,relu,"{'pool_size_2_max_pooling_layers': 2, 'pool_size_1_max_pooling_layers': 3, 'n_neurons_3_dense_layers': 16, 'n_filters_2_conv_layers': 32, 'n_filters_1_conv_layers': 256, 'n_3_dense_layers': 2, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 2, 'n_1_max_pooling_layers': 1, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 2, 'kernel_size_1_conv_layers': 6, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'relu', 'activation_2_conv_layers': 'relu', 'activation_1_conv_layers': 'relu'}",0.9116855216924683,0.5,0.8901277354081214,0.7672710857001966,0.1891940088478698,16
16,1.9530138969421387,0.0652991301865412,0.14301403363545737,0.005074660579481707,2,2,16,16,256,2,1,2,0,1,0.1,0.0001,0.0001,3,7,0,1e-06,sigmoid,sigmoid,sigmoid,sigmoid,"{'pool_size_2_max_pooling_layers': 2, 'pool_size_1_max_pooling_layers': 2, 'n_neurons_3_dense_layers': 16, 'n_filters_2_conv_layers': 16, 'n_filters_1_conv_layers': 256, 'n_3_dense_layers': 2, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 2, 'n_1_max_pooling_layers': 0, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 3, 'kernel_size_1_conv_layers': 7, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'sigmoid', 'activation_2_conv_layers': 'sigmoid', 'activation_1_conv_layers': 'sigmoid'}",0.5,0.5,0.49969259145404243,0.49989753048468083,0.00014491377829419422,151
17,2.1547557512919107,0.32180149279669484,0.1472907861073812,0.005893802032297085,3,2,64,32,64,1,1,2,1,1,0.1,0.0001,0.0001,2,8,0,1e-06,sigmoid,relu,relu,relu,"{'pool_size_2_max_pooling_layers': 3, 'pool_size_1_max_pooling_layers': 2, 'n_neurons_3_dense_layers': 64, 'n_filters_2_conv_layers': 32, 'n_filters_1_conv_layers': 64, 'n_3_dense_layers': 1, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 2, 'n_1_max_pooling_layers': 1, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 2, 'kernel_size_1_conv_layers': 8, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'relu', 'activation_2_conv_layers': 'relu', 'activation_1_conv_layers': 'relu'}",0.8711638970785313,0.9309069316190697,0.9324869039565847,0.9115192442180619,0.028542828757393637,7
18,1.9110044638315837,0.01316750247876879,0.12810063362121582,0.0016867531080008806,3,3,16,16,64,3,1,1,0,1,0.1,0.0001,0.0001,2,6,0,1e-06,sigmoid,sigmoid,relu,sigmoid,"{'pool_size_2_max_pooling_layers': 3, 'pool_size_1_max_pooling_layers': 3, 'n_neurons_3_dense_layers': 16, 'n_filters_2_conv_layers': 16, 'n_filters_1_conv_layers': 64, 'n_3_dense_layers': 3, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 1, 'n_1_max_pooling_layers': 0, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 2, 'kernel_size_1_conv_layers': 6, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'sigmoid', 'activation_2_conv_layers': 'relu', 'activation_1_conv_layers': 'sigmoid'}",0.61233272490605,0.4857158234353993,0.8463921730864598,0.6481469071426363,0.1494073827635035,31
19,1.762499173482259,0.006445968496039489,0.1293326218922933,0.0007662420103804115,2,2,64,16,256,1,1,2,0,1,0.1,0.0001,0.0001,4,8,0,1e-06,sigmoid,relu,relu,sigmoid,"{'pool_size_2_max_pooling_layers': 2, 'pool_size_1_max_pooling_layers': 2, 'n_neurons_3_dense_layers': 64, 'n_filters_2_conv_layers': 16, 'n_filters_1_conv_layers': 256, 'n_3_dense_layers': 1, 'n_2_max_pooling_layers': 1, 'n_2_conv_layers': 2, 'n_1_max_pooling_layers': 0, 'n_1_conv_layers': 1, 'learningrate': 0.1, 'l2': 0.0001, 'l1': 0.0001, 'kernel_size_2_conv_layers': 4, 'kernel_size_1_conv_layers': 8, 'dropout': 0, 'decay': 1e-06, 'activation_f_layer': 'sigmoid', 'activation_3_dense_layers': 'relu', 'activation_2_conv_layers': 'relu', 'activation_1_conv_layers': 'sigmoid'}",0.5004631058968818,0.5,0.5,0.5001543686322939,0.0002183102133950707,84
