eventnumber,PID,time,x,y,z,r,material,energydeposition,pedetected,detectionefficiency,quantumefficiency,InnerSlice0,InnerSlice1,InnerSlice2,InnerSlice3,InnerSlice4,InnerSlice5,InnerSlice6,InnerSlice7,InnerSlice8,InnerSlice9,InnerSlice10,InnerSlice11,OuterSlice0,OuterSlice1,OuterSlice2,OuterSlice3,OuterSlice4,OuterSlice5,OuterSlice6,OuterSlice7,OuterSlice8,OuterSlice9,OuterSlice10,OuterSlice11,OuterSlice12,OuterSlice13,OuterSlice14,OuterSlice15,OuterSlice16,OuterSlice17,OuterSlice18,OuterSlice19,
49232,22,26.278902998471,-171.939065705831,517.998478357773,535.898055775036,545.788847354691,ArgonLiquid,0,0,0.000984,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,26.3803786526009,-148.380674230508,536.08650588105,529.317677756361,556.242362889463,ArgonLiquid,3.2063,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,23.815352138774,395.266016926528,574.287924159653,392.372441102107,697.167012969321,ArgonLiquid,0,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,23.8287167284231,398.292888382156,575.641186038837,390.123085521533,700,ArgonLiquid,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,25.9023663533917,204.884543735733,210.851425743817,83.4742918680394,294,ArgonLiquid,0,0,0.002296,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,26.0790350812339,200.795250132412,161.91104341034,63.6425777589155,257.941695842225,ArgonLiquid,0,0,0.004264,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,26.1447849285548,199.273359793623,143.697165348504,56.2619157101496,245.680172689279,GermaniumEnriched,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,26.1486555998715,199.51215579443,142.598216881147,56.5479444021404,245.233259912728,GermaniumEnriched,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,26.2189226130622,207.337396084024,127.939658689744,69.4958571428018,243.633643162334,GermaniumEnriched,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,26.3068712395124,183.686547691242,129.178861967027,57.907701048619,224.561631143486,GermaniumEnriched,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,26.3108841412168,184.639849779281,129.719460760789,58.403954711711,225.65241551241,GermaniumEnriched,11.103,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,27.1546007956739,-2.91321475180126,665.348501281181,-206.402899907471,665.354878976103,ArgonLiquid,0,0,0.000984,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49232,22,27.3815113246731,15.8732156176827,699.820006162981,-261.957656107834,700,ArgonLiquid,0,0,0.000328,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
